名前,単位数,知の活用力,マネジメント能力,コミュニケーション能力,チームワーク力,国際性,研究力,専門知識,倫理観,合計
美しい国土づくりへの挑戦（Ⅰ）,2,30,20,30,10,10,10,30,60,200
美しい国土づくりへの挑戦（Ⅱ）,2,30,20,30,10,10,10,30,60,200
再生可能エネルギー工学,2,25,50,0,0,0,0,125,0,200
リスク・レジリエンス工学概論,1,20,0,0,0,0,40,40,0,100
ICT社会イノベーション特論,2,30,30,40,40,0,30,30,0,200
計算科学リテラシー,1,20,0,0,0,20,30,30,0,100
Computational Science Literacy,1,20,0,0,0,20,30,30,0,100
計算科学のための高性能並列計算技術(日本語),1,20,0,0,0,20,30,30,0,100
High Performance Parallel Computing Technology for Computational Sciences,1,20,0,0,0,20,30,30,0,100
機械工作序論と実習,1,25,25,0,0,0,0,50,0,100
テクニカルライティング基礎,2,0,0,150,20,20,0,10,0,200
テクニカルライティング発展,2,0,0,120,10,20,30,10,10,200
アカデミック・プレゼンテーション1,1,0,0,60,20,20,0,0,0,100
アカデミック・プレゼンテーション2,1,0,0,60,20,20,0,0,0,100
アカデミック・スピーキング1,1,0,0,60,20,20,0,0,0,100
アカデミック・スピーキング2,1,0,0,60,20,20,0,0,0,100
社会工学のための数学,2,50,0,0,0,50,100,0,0,200
ミクロ経済学,2,50,0,0,0,50,100,0,0,200
社会シミュレーション,2,50,0,0,0,50,100,0,0,200
ゲーム理論,2,50,0,0,0,50,100,0,0,200
統計分析,2,50,0,0,0,50,100,0,0,200
企業評価論,2,50,0,0,0,50,100,0,0,200
制度・政策決定論,2,50,0,0,0,50,100,0,0,200
都市と環境,2,50,0,0,0,50,100,0,0,200
空間情報科学,2,50,0,0,0,50,100,0,0,200
モビリティ・イノベーションの社会応用,2,50,0,0,0,50,100,0,0,200
ブロックチェーン技術と地域未来創生,2,50,0,0,0,50,100,0,0,200
情報ネットワークの経済学,1,0,0,0,0,0,0,100,0,100
観光の科学,1,0,0,0,0,0,0,100,0,100
サービス満足度解析,1,0,0,0,0,0,0,100,0,100
金融サービスと意思決定,1,0,0,0,0,0,0,100,0,100
サービス工学：技術と実践,1,0,0,0,0,0,0,100,0,100
ウエルネスサービスサイエンス,1,0,0,0,0,0,0,100,0,100
交通サービスデザイン,1,0,0,0,0,0,0,100,0,100
システム開発論,1,0,0,0,0,0,0,100,0,100
総合型地域スポーツクラブ論,1,0,0,0,0,0,0,100,0,100
ソフトコンピューティング基礎論,2,40,0,0,0,0,40,120,0,200
データマイニング,2,40,0,0,0,0,40,120,0,200
暗号技術特論,2,40,0,0,0,0,40,120,0,200
数理モデル解析特論,2,40,0,0,0,0,40,120,0,200
数理環境工学特論,2,40,0,0,0,0,40,120,0,200
現代情報理論,2,40,0,0,0,0,40,120,0,200
Experiment Design in Computer Sciences,2,30,20,0,50,10,40,0,50,200
インストラクショナルデザイン,1,10,10,60,20,0,0,0,0,100
データ解析特論,2,50,0,0,0,50,50,50,0,200
エネルギーシステム原論,2,50,50,0,0,0,0,100,0,200
固体力学特論,2,50,50,0,0,0,0,100,0,200
構造力学特論,2,50,50,0,0,0,0,100,0,200
振動学特論,2,50,50,0,0,0,0,100,0,200
電磁エネルギー工学,2,50,50,0,0,0,0,100,0,200
災害情報学,2,25,25,0,0,0,0,150,0,200
流体力学特論１,2,50,50,0,0,0,0,100,0,200
流体力学特論２,2,50,50,0,0,0,0,100,0,200
宇宙開発工学特別演習20XX,2,0,100,40,40,0,0,20,0,200
インフラ開発工学特別演習,2,0,100,40,40,0,0,20,0,200
建築設計計画特別演習,1,0,50,20,20,0,0,10,0,100
サプライチェーンマネジメント,2,0,0,0,0,0,0,200,0,200
都市・地域解析学,2,0,0,0,0,0,0,200,0,200
都市開発プロジェクト・マネジメント/地域経営論,2,0,0,0,0,0,0,200,0,200
経済・政策分析,2,0,0,0,0,0,0,200,0,200
ビジネス戦略:理論と実践,2,0,0,0,0,0,0,200,0,200
情報セキュリティ,2,0,0,0,0,0,0,200,0,200
ファイナンス:理論と実践,2,0,0,0,0,0,0,200,0,200
資産評価論,2,0,0,0,0,0,0,200,0,200
離散数理,2,0,0,0,0,0,0,200,0,200
数理最適化理論,2,0,0,0,0,0,0,200,0,200
地域科学,2,0,0,0,0,0,0,200,0,200
都市形成史,2,0,0,0,0,0,0,200,0,200
住環境計画論,2,0,0,0,0,0,0,200,0,200
ミクロ計量分析,2,0,0,0,0,0,0,200,0,200
生産・品質管理,2,0,0,0,0,0,0,200,0,200
社会工学特別講義I,2,0,0,0,0,0,0,200,0,200
社会工学特別講義II,2,0,0,0,0,0,0,200,0,200
社会工学特別講義III,1,0,0,0,0,0,0,100,0,100
サービス工学特別講義I,1,0,0,0,0,0,0,100,0,100
サービス工学特別講義II,1,0,0,0,0,0,0,100,0,100
サービス工学特別講義III,1,0,0,0,0,0,0,100,0,100
エネルギー・環境モデリング演習,2,40,0,0,0,0,40,120,0,200
サイバーリスク特論,1,20,0,0,0,0,20,60,0,100
サイバーレジリエンス演習,1,20,0,0,0,0,20,60,0,100
セキュリティ論考特論,1,20,0,0,0,0,20,60,0,100
ネットワークセキュリティ特論,2,40,0,0,0,0,40,120,0,200
ヒューマンファクター演習,1,40,0,0,0,0,40,120,0,200
ヒューマンファクター特論,1,20,0,0,0,0,20,60,0,100
プロセスシステムリスク特論,2,40,0,0,0,0,40,120,0,200
リスク・レジリエンス工学修士特別講義（セキュリティ）,1,20,0,0,0,0,20,60,0,100
リスク・レジリエンス工学修士特別講義（都市防災・リスク情報論）,1,20,0,0,0,0,20,60,0,100
リスクコミュニケーション,2,40,0,0,0,0,40,120,0,200
レジリエンス社会へ向けての事業継続管理,2,40,0,0,0,0,40,120,0,200
レジリエント都市計画演習,2,40,0,0,0,0,40,120,0,200
環境・エネルギー・安全工学概論,2,40,0,0,0,0,40,120,0,200
金融リスク解析,2,40,0,0,0,0,40,120,0,200
災害リスク・レジリエンス論,2,40,0,0,0,0,40,120,0,200
サイバーセキュリティ特論,2,40,0,0,0,0,40,120,0,200
都市リスクマネジメント論,2,40,0,0,0,0,40,120,0,200
認知的インタフェース論,2,40,0,0,0,0,40,120,0,200
ﾘｽｸ･ﾚｼﾞﾘｴﾝｽ工学修士特別講義(情報知能災害ﾘｽｸﾏﾈｼﾞﾒﾝﾄ),1,20,0,0,0,0,20,60,0,100
Principles of Software Engineering,2,30,0,0,50,20,50,50,0,200
コンピュータグラフィクス特論,2,50,0,30,0,30,40,50,0,200
コンピュータサイエンス英語講義I,1,20,0,0,0,30,20,30,0,100
コンピュータネットワーク特論,2,40,30,30,0,0,50,50,0,200
サービスとデータプライバシ,1,30,0,10,10,0,10,10,30,100
システムプログラミング特論,2,60,0,0,0,0,70,70,0,200
システム最適化,1,30,0,0,0,10,40,20,0,100
システム制御,1,30,0,0,0,10,40,20,0,100
ソフトウェアリポジトリ分析技法,1,10,10,0,10,0,20,50,0,100
データ工学特論I,2,40,40,40,0,0,40,40,0,200
データ工学特論II,2,50,50,0,0,0,50,50,0,200
ヒューマンインタフェース特論I,1,20,0,20,0,0,30,30,0,100
ヒューマンインタフェース特論II,1,20,0,20,0,0,30,30,0,100
